"","chr","adl","phy","cog","soc","hap","men","act","alc","smk","age","edu","fri","inc","dep","anx","lon","com","bmi"
"chr",0,0.162586889565772,0.270514403577603,0,0,0,0,0,0,0,-0.130983018845304,0,0,0,0,0,0.0470127958393681,0,-0.14908567108165
"adl",0.162586889565772,0,0.188227742848883,0.0744318066871091,0,0,0,0.17664425454232,0,0,-0.0858888540631154,-0.0530729266732375,0,0.07577700667722,-0.141260749123178,0,-0.0608364938815887,0,0
"phy",0.270514403577603,0.188227742848883,0,0,0,0,0.303807639962202,0.161901694975532,0.105208134890047,-0.0533305287040051,0,0.103328920025954,0,0,-0.0800369176934718,0,0,0.0602307579060714,-0.0544528761300826
"cog",0,0.0744318066871091,0,0,0.0535198561409088,0,0.086559511621398,0,0.0886924474309251,0,-0.226158104739601,0.385769281280815,0.108135967511506,0.0503628295270364,0,-0.0977186169945809,0.0811177960147855,0,0
"soc",0,0,0,0.0535198561409088,0,0,0.0521496381723639,0,0,0,0,0,0.138577737606647,0,-0.0504130183421339,0,0,0.218245884844098,0
"hap",0,0,0,0,0,0,0.208944299395909,0,0,0,0,0,0.0454736482080073,0.0443755613004974,-0.240601584127123,0,-0.233547550218449,0.0526578546774918,0
"men",0,0,0.303807639962202,0.086559511621398,0.0521496381723639,0.208944299395909,0,0,0,0,0,0,0,0.0498593806734977,-0.114496687045615,-0.0749629836844593,-0.0728634731145974,0,0
"act",0,0.17664425454232,0.161901694975532,0,0,0,0,0,0.0686217808831137,0,-0.0783366597240683,0,0.0758316501318638,0.0465886718154548,0,0,0,0.0858115189181297,-0.113214282469093
"alc",0,0,0.105208134890047,0.0886924474309251,0,0,0,0.0686217808831137,0,0,0,0.0884520813349685,0,0.0774962887951329,0,0,0,-0.108333594529828,-0.0536575751154454
"smk",0,0,-0.0533305287040051,0,0,0,0,0,0,0,-0.135997857950337,-0.0540435210307548,0,0,0,0,0,-0.133247856343061,-0.12580216506799
"age",-0.130983018845304,-0.0858888540631154,0,-0.226158104739601,0,0,0,-0.0783366597240683,0,-0.135997857950337,0,0,0.0689844822863384,0,0,0,0,0,-0.238136806758644
"edu",0,-0.0530729266732375,0.103328920025954,0.385769281280815,0,0,0,0,0.0884520813349685,-0.0540435210307548,0,0,0,0.241967028548945,0,0,0,0.148446783827406,0
"fri",0,0,0,0.108135967511506,0.138577737606647,0.0454736482080073,0,0.0758316501318638,0,0,0.0689844822863384,0,0,0,0,0,-0.0880938813459114,0.213852011097379,0
"inc",0,0.07577700667722,0,0.0503628295270364,0,0.0443755613004974,0.0498593806734977,0.0465886718154548,0.0774962887951329,0,0,0.241967028548945,0,0,0,0,0,0,0
"dep",0,-0.141260749123178,-0.0800369176934718,0,-0.0504130183421339,-0.240601584127123,-0.114496687045615,0,0,0,0,0,0,0,0,0.260371552150807,0.173488153132297,0,0
"anx",0,0,0,-0.0977186169945809,0,0,-0.0749629836844593,0,0,0,0,0,0,0,0.260371552150807,0,0.192853281794355,0,0
"lon",0.0470127958393681,-0.0608364938815887,0,0.0811177960147855,0,-0.233547550218449,-0.0728634731145974,0,0,0,0,0,-0.0880938813459114,0,0.173488153132297,0.192853281794355,0,0,0
"com",0,0,0.0602307579060714,0,0.218245884844098,0.0526578546774918,0,0.0858115189181297,-0.108333594529828,-0.133247856343061,0,0.148446783827406,0.213852011097379,0,0,0,0,0,0
"bmi",-0.14908567108165,0,-0.0544528761300826,0,0,0,0,-0.113214282469093,-0.0536575751154454,-0.12580216506799,-0.238136806758644,0,0,0,0,0,0,0,0
